mpg, cubicinches, hp, weightlbs, time-to-60, year
16,250,100,3781,17,1975
11,400,150,4997,14,1974
12,400,167,4906,13,1974
25,98,80,2126,17,1973
34.2,105,70,2200,13,1980
32.2,108,75,2265,15,1981
26.6,151,84,2635,16,1982
43.4,90,48,2335,24,1981
30,88,76,2065,15,1972
25,121,115,2671,14,1976
18,307,130,3504,12,1971
20,97,88,2279,19,1974
18,121,112,2933,15,1973
16,351,149,4335,15,1978
33,91,53,1795,18,1976
37.3,91,69,2130,15,1980
18,225,95,3785,19,1976
24.5,151,88,2740,16,1978
21,231,110,3039,15,1976
34.4,98,65,2045,16,1982
15,429,198,4341,10,1971
27,101,83,2202,15,1977
26,79,67,1963,16,1975
16,400,170,4668,12,1976
23.2,156,105,2745,17,1979
27,97,60,1834,19,1972
26.5,140,72,2565,14,1977
13,360,170,4654,13,1974
30.9,105,75,2230,15,1979
20,114,91,2582,14,1974
36.1,98,66,1800,14,1979
26,97,78,2300,15,1975
28,151,90,2678,17,1981
12,455,225,4951,11,1974
17,304,150,3672,12,1973
15,350,145,4440,14,1976
16,318,150,4190,13,1977
26,91,70,1955,21,1972
13,302,129,3169,12,1976
22,121,98,2945,15,1976
21,120,87,2979,20,1973
26.8,173,115,2700,13,1980
29,97,75,2171,16,1976
32,144,96,2665,14,1983
35.1,81,60,1760,16,1982
19.2,267,125,3605,15,1980
23,120,88,2957,17,1976
20.6,225,110,3360,17,1980
27,151,90,2735,18,1983
15,350,165,3693,12,1971
18.1,302,139,3205,11,1979
31.3,120,75,2542,18,1981
27.5,134,95,2560,14,1979
14,455,225,4425,10,1971
15,250,72,3158,20,1976
28,107,86,2464,16,1977
19,250,88,3302,16,1972
18,70,90,2124,14,1974
29.5,98,68,2135,17,1979
19,232,100,2634,13,1972
16.2,163,133,3410,16,1979
24.3,151,90,3003,20,1981
17.5,318,140,4080,14,1979
18,171,97,2984,15,1976
23,198,95,2904,16,1974
23,97,54,2254,24,1973
19.9,260,110,3365,16,1979
16,225,105,3439,16,1972
26,156,92,2585,15,1983
20,156,122,2807,14,1974
38,105,63,2125,15,1983
32.4,107,72,2290,17,1981
20.3,131,103,2830,16,1979
29,68,49,,20,1974
31,112,85,2575,16,1983
21,122,86,2226,17,1973
26,96,69,2189,18,1973
14,400,175,4385,12,1973
14,304,150,3672,12,1974
20.2,302,139,3570,13,1979
31.5,98,68,2045,19,1978
19.8, ,85,2990,18,1980
33.8,97,67,2145,18,1981
17.5,305,140,4215,13,1977
18,318,150,3436,11,1971
34,112,88,2395,18,1983
20.8,200,85,3070,17,1979
18,250,105,3459,16,1976
13,318,150,3940,13,1977
14,351,153,4129,13,1973
13,440,215,4735,11,1974
25.8,156,92,2620,14,1982
28.4,151,90,2670,16,1980
13,400,190,4422,13,1973
15,350,145,4082,13,1974
14,318,150,4077,14,1973
41.5,98,76,2144,15,1981
27.2,135,84,2490,16,1982
43.1,90,48,1985,22,1979
29,90,70,1937,14,1976
33.5,85,70,1945,17,1978
26,116,75,2246,14,1975
23,140,83,2639,17,1976
23.9,260,90,3420,22,1980
19,225,100,3630,18,1978
21,140,72,2401,20,1974
15,390,190,3850,9,1971
40.8,85,65,2110,19,1981
18,250,88,3021,17,1974
13,307,130,4098,14,1973
25.4,168,116,2900,13,1982
22,146,97,2815,15,1978
17.7,231,165,3445,13,1979
39.1,79,58,1755,17,1982
30,79,70,2074,20,1972
22,225,100,3233,15,1977
32.9,119,100,2615,15,1982
37,85,65,1975,19,1982
14.5,351,152,4215,13,1977
28.8,173,115,2595,11,1980
15,302,130,4295,15,1978
17.5,258,95,3193,18,1977
21.6,121,115,2795,16,1979
14,318,150,4457,14,1975
16.5,168,120,3820,17,1977
14,302,137,4042,15,1974
32,83,61,2003,19,1975
10,360,215,4615,14,1971
31,76,52,1649,17,1975
21,200,85,2587,16,1971
27,140,86,2790,16,1983
15,383,170,3563,10,1971
28,120,79,2625,19,1983
23,140,78,2592,19,1976
16,318,150,4498,15,1976
20,130,102,3150,16,1977
44,97,52,2130,25,1983
14,318,150,4096,13,1972
20.2,200,85,2965,16,1979
39,86,64,1875,16,1982
23,122,86,2220,14,1972
13,350,145,4055,12,1977
18,225,105,3121,17,1974
16,400,180,4220,11,1978
25,110,87,2672,18,1971
14,454,220,4354,9,1971
15,318,150,3399,11,1974
19.4,318,140,3735,13,1979
44.3,90,48,2085,22,1981
28,97,75,2155,16,1977
29,135,84,2525,16,1983
32.1,98,70,2120,16,1981
24,121,110,2660,14,1974
36.4,121,67,2950,20,1981
13,350,145,3988,13,1974
23.5,173,110,2725,13,1982
24,113,95,2372,15,1971
17,305,130,3840,15,1980
36.1,91,60,1800,16,1979
22,232,112,2835,15,1983
18,232,100,3288,16,1972
22,250,105,3353,15,1977
